Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
11/01/2015 20,1494.08,1834.7099999999996,,1520.27,
11/01/2015 21,1456.6100000000001,1834.7099999999996,,1550.0525,
11/01/2015 22,1483.3474999999999,1834.7099999999996,,1571.165,
11/01/2015 23,1518.0625,1834.7099999999996,,1579.3725,
12/01/2015 00,1492.17,1834.7099999999996,,1508.095,
12/01/2015 01,1452.2675,1834.7099999999996,,1515.6174999999998,
12/01/2015 02,1481.4650000000001,1834.7099999999996,,1522.3775,
12/01/2015 03,1517.0000000000002,1834.7099999999996,,1528.0475000000001,
12/01/2015 04,1546.345,1834.7099999999996,,1545.31,
12/01/2015 05,1542.135,1834.7099999999996,,1583.6275,
12/01/2015 06,1567.5175,1834.7099999999996,,1618.7325,
12/01/2015 07,1551.4,1834.7099999999996,,1643.8225,
12/01/2015 08,1578.9524999999999,1834.7099999999996,,1660.2975000000001,
12/01/2015 09,1566.0,1834.7099999999996,,1662.9625,
12/01/2015 10,1585.1525,1834.7099999999996,,1645.9525,
12/01/2015 11,1572.5225,1834.7099999999996,,1636.7975000000001,
12/01/2015 12,1565.7250000000001,1834.7099999999996,,1634.0249999999999,
12/01/2015 13,1592.4975,1834.7099999999996,,1638.4325000000001,
12/01/2015 14,1560.01,1834.7099999999996,,1655.4499999999998,
12/01/2015 15,1532.905,1834.7099999999996,,1648.8149999999998,
12/01/2015 16,1543.2625,1834.7099999999996,,1677.4999999999998,
12/01/2015 17,1546.965,1834.7099999999996,,1670.4850000000001,
12/01/2015 18,1574.8,1834.7099999999996,,1660.8474999999999,
12/01/2015 19,1567.5725,1834.7099999999996,,1654.6174999999998,
12/01/2015 20,1524.02,1834.7099999999996,,1657.4575,
12/01/2015 21,1568.0925000000002,1834.7099999999996,,1657.0775,
12/01/2015 22,1567.2575,1834.7099999999996,,1659.355,
12/01/2015 23,1557.4325,1834.7099999999996,,1670.0300000000002,
13/01/2015 00,1586.3399999999997,1834.7099999999996,,1690.8325,
13/01/2015 01,1576.8249999999998,1834.7099999999996,,1693.9524999999999,
13/01/2015 02,1582.15,1834.7099999999996,,1693.9775000000002,
13/01/2015 03,1528.4575,1834.7099999999996,,1683.4975,
13/01/2015 04,1526.0800000000002,1834.7099999999996,,1654.3075000000001,
13/01/2015 05,1580.29,1834.7099999999996,,1611.9025,
13/01/2015 06,1596.7125,1834.7099999999996,,1589.3849999999998,
13/01/2015 07,1547.7649999999999,1834.7099999999996,,1580.53,
13/01/2015 08,1561.7350000000001,1834.7099999999996,,1527.4524999999999,
13/01/2015 09,1507.9625,1834.7099999999996,,1481.585,
13/01/2015 10,1435.555,1834.7099999999996,,1474.04,
13/01/2015 11,1334.0749999999998,1834.7099999999996,,1472.3025,
13/01/2015 12,1387.83,1834.7099999999996,,1448.4975,
13/01/2015 13,1382.1100000000001,1834.7099999999996,,1388.6125,
13/01/2015 14,1204.7875000000001,1834.7099999999996,,1288.5175,
13/01/2015 15,1145.1975,1834.7099999999996,,1191.8799999999999,
13/01/2015 16,1307.9750000000001,1834.7099999999996,,1118.7625,
13/01/2015 17,1286.005,1834.7099999999996,,1123.0974999999999,
13/01/2015 18,1344.1525000000001,1834.7099999999996,,1129.5025,
13/01/2015 19,1223.9875,1834.7099999999996,,1172.545,
13/01/2015 20,1162.37,1834.7099999999996,,1276.5475000000001,
13/01/2015 21,1213.725,1834.7099999999996,,1378.1125,
13/01/2015 22,1231.2,1834.7099999999996,,1444.6950000000002,
13/01/2015 23,1246.4575,1834.7099999999996,,1462.0975,
14/01/2015 00,1371.0425,1834.7099999999996,,1387.705,
14/01/2015 01,1410.8375,1834.7099999999996,,1402.915,
14/01/2015 02,1305.375,1834.7099999999996,,1410.0849999999998,
14/01/2015 03,1149.42,1834.7099999999996,,1419.77,
14/01/2015 04,1161.5549999999998,1834.7099999999996,,1416.9025,
14/01/2015 05,1319.3899999999999,1834.7099999999996,,1392.5674999999999,
14/01/2015 06,1272.4450000000002,1834.7099999999996,,1364.1825,
14/01/2015 07,1220.2774999999997,1834.7099999999996,,1356.4275,
14/01/2015 08,1371.4825,1834.7099999999996,,1382.4525,
14/01/2015 09,1437.9875000000002,1834.7099999999996,,1409.7925,
14/01/2015 10,1436.6074999999998,1834.7099999999996,,1434.7024999999999,
14/01/2015 11,1359.9724999999999,1834.7099999999996,,1450.165,
14/01/2015 12,1275.9924999999998,1834.7099999999996,,1448.1375,
14/01/2015 13,1325.5774999999999,1834.7099999999996,,1398.0800000000002,
14/01/2015 14,1291.045,1834.7099999999996,,1270.7624999999998,
14/01/2015 15,1202.77,1834.7099999999996,,1134.015,
14/01/2015 16,920.2574999999999,1834.7099999999996,,1040.225,
14/01/2015 17,910.15,1834.7099999999996,,1066.3075000000001,
14/01/2015 18,1172.19,1834.7099999999996,,1121.8449999999998,
14/01/2015 19,1232.84,1834.7099999999996,,1180.0275,
14/01/2015 20,1328.6174999999998,1834.7099999999996,,1273.0349999999999,
14/01/2015 21,1394.105,1834.7099999999996,,1364.52,
14/01/2015 22,1462.5475000000001,1834.7099999999996,,1449.6075,
14/01/2015 23,1533.2124999999999,1834.7099999999996,,1495.1925,
15/01/2015 00,1520.8975,1834.7099999999996,,1516.37,
15/01/2015 01,1496.1875,1834.7099999999996,,1526.0625,
15/01/2015 02,1477.685,1834.7099999999996,,1521.445,
15/01/2015 03,1495.57,1834.7099999999996,,1514.3525000000002,
15/01/2015 04,1494.3825,1834.7099999999996,,1503.105,
15/01/2015 05,1306.55,1834.7099999999996,,1489.13,
15/01/2015 06,1356.4975,1834.7099999999996,,1475.65,
15/01/2015 07,1463.2224999999999,1834.7099999999996,,1506.8925000000002,
15/01/2015 08,1466.6725000000001,1834.7099999999996,,1605.8775,
15/01/2015 09,1527.4724999999999,1834.7099999999996,,1657.0125,
15/01/2015 10,1509.1375,1834.7099999999996,,1675.0,
15/01/2015 11,1500.6075,1834.7099999999996,,1672.3925000000002,
15/01/2015 12,1517.06,1834.7099999999996,,1675.755,
15/01/2015 13,1525.1125,1834.7099999999996,,1679.005,
15/01/2015 14,1472.165,1834.7099999999996,,1652.1175,
15/01/2015 15,1489.62,1834.7099999999996,,1630.1725,
15/01/2015 16,1527.5425,1834.7099999999996,,1585.0375,
15/01/2015 17,1501.0075,1834.7099999999996,,1510.8000000000002,
15/01/2015 18,1510.195,1834.7099999999996,,1451.265,
15/01/2015 19,1509.58,1834.7099999999996,,1422.38,
15/01/2015 20,1424.76,1834.7099999999996,,1430.9775,
15/01/2015 21,1406.9575,1834.7099999999996,,1436.2975000000001,
15/01/2015 22,1362.755,1834.7099999999996,,1436.635,
15/01/2015 23,1363.7475,1834.7099999999996,,1416.755,
16/01/2015 00,1316.1200000000001,1834.7099999999996,,1363.3325,
16/01/2015 01,1373.9250000000002,1834.7099999999996,,1321.26,
16/01/2015 02,1265.6175,1834.7099999999996,,1280.415,
16/01/2015 03,1176.5075,1834.7099999999996,,1238.6375,
16/01/2015 04,1081.4750000000001,1834.7099999999996,,1184.5925,
16/01/2015 05,999.1925,1834.7099999999996,,1106.87,
16/01/2015 06,1000.6375,1834.7099999999996,,1023.7924999999999,
16/01/2015 07,979.415,1834.7099999999996,,940.4825000000001,
16/01/2015 08,886.5475,1834.7099999999996,,865.3275,
16/01/2015 09,783.9324999999999,1834.7099999999996,,800.1375,
16/01/2015 10,622.6875,1834.7099999999996,,716.77,
16/01/2015 11,470.84749999999997,1834.7099999999996,,605.4549999999999,
16/01/2015 12,461.975,1834.7099999999996,,491.365,
16/01/2015 13,488.035,1834.7099999999996,,383.68750000000006,
16/01/2015 14,406.7075,1834.7099999999996,,300.60749999999996,
16/01/2015 15,298.90999999999997,1834.7099999999996,,216.9025,
16/01/2015 16,381.54,1834.7099999999996,,184.245,
16/01/2015 17,271.3225,1834.7099999999996,,214.7575,
16/01/2015 18,366.8825,1834.7099999999996,,239.10000000000002,
16/01/2015 19,406.7875,1834.7099999999996,,269.395,
16/01/2015 20,436.71250000000003,1834.7099999999996,,324.57,
16/01/2015 21,417.23249999999996,1834.7099999999996,,381.1175,
16/01/2015 22,410.925,1834.7099999999996,,419.4025,
16/01/2015 23,463.33000000000004,1834.7099999999996,,404.4675,
17/01/2015 00,332.8325,1834.7099999999996,,528.0775,
17/01/2015 01,301.42999999999995,1834.7099999999996,,510.0375,
17/01/2015 02,255.23749999999998,1834.7099999999996,,501.54499999999996,
17/01/2015 03,209.28,1834.7099999999996,,504.28,
17/01/2015 04,251.62,1834.7099999999996,,496.325,
17/01/2015 05,185.2275,1834.7099999999996,,465.465,
17/01/2015 06,155.9925,1834.7099999999996,,441.12,
17/01/2015 07,175.48250000000002,1834.7099999999996,,438.18,
17/01/2015 08,208.0525,1834.7099999999996,,462.705,
17/01/2015 09,231.81,1834.7099999999996,,485.265,
17/01/2015 10,320.78,1834.7099999999996,,509.33,
17/01/2015 11,408.98749999999995,1834.7099999999996,,533.995,
17/01/2015 12,478.25750000000005,1834.7099999999996,,561.4324999999999,
17/01/2015 13,539.5375,1834.7099999999996,,617.0175,
